# Equinox Logger release notes history
# Format: YYYY-MM-DD HH:MM:SS +ZZZZ | vMAJOR.MINOR.PATCH | commit message

2026-02-12 22:17:50 +0100 | vunknown | Add flush() method to logging classes for immediate log message writing
2026-02-12 22:19:27 +0100 | vunknown | Merge pull request #9 from jwolak/users/improvment_2026
2026-02-13 09:04:39 +0100 | vunknown | Rename queue_ to log_messages_queue_ and update related variables for clarity in AsyncLogQueue
2026-02-13 09:26:45 +0100 | vunknown | Refactor AsyncLogQueue and TimestampProducer for consistency in naming conventions and improve code clarity
2026-02-13 09:34:50 +0100 | vunknown | Rename dispatchMessage to dispatchLogMessage for improved clarity
2026-02-13 10:47:52 +0100 | vunknown | Refactor dispatchLogMessage logic into startWorkerIfNeeded for improved thread safety and clarity
2026-02-13 11:30:22 +0100 | vunknown | Rename AsyncLogQueue variable for clarity and improve thread safety with updated mutex and atomic flags
2026-02-13 15:22:14 +0100 | vunknown | Merge pull request #10 from jwolak/users/improvment_2026
2026-02-20 13:33:44 +0100 | vunknown | Colored log meassages added
2026-02-20 13:45:06 +0100 | vunknown | Colored logs removed from log file
2026-02-20 13:55:54 +0100 | vunknown | Refactor ColorFormatter and ConsoleLogsProducer for improved color handling and clarity
2026-02-20 14:00:24 +0100 | vunknown | Refactor ColorFormatter and ConsoleLogsProducer to use std::string_view for improved performance and clarity
2026-02-20 14:05:24 +0100 | vunknown | Refactor ColorFormatter to use std::string_view for ANSI color codes to enhance performance and clarity
2026-02-20 14:28:35 +0100 | vunknown | Add build script with support for multiple build types and options
2026-02-20 14:31:27 +0100 | vunknown | Refactor applyConsoleColors method to remove log level parameter for improved clarity
2026-02-20 14:32:52 +0100 | vunknown | Add case for LOG_LEVEL::off in logMessage method for completeness
2026-02-20 14:42:17 +0100 | vunknown | Refactor CMakeLists.txt to remove unused library variable and link EquinoxLogger target; add AsyncLogQueueTest source file for testing
2026-02-20 14:52:32 +0100 | vunknown | Add protected method to access log messages queue and enhance test coverage
2026-02-20 15:03:36 +0100 | vunknown | Enhance AsyncLogQueue tests with multi-threaded enqueue scenarios and adjust queue max size
2026-02-20 15:29:42 +0100 | vunknown | Refactor AsyncLogQueue to expose log messages queue and add stop request methods; enhance test coverage for queue operations
2026-02-20 15:42:29 +0100 | vunknown | Add coverage report generation support to build script; include options for enabling coverage and handling lcov installation
2026-02-21 09:21:08 +0100 | vunknown | Implement IAsyncLogQueue interface and refactor AsyncLogQueue; add mock and engine test files
2026-02-21 09:25:18 +0100 | vunknown | Refactor AsyncLogQueueEngine to use unique_ptr for log message queue management; update enqueue, dequeue, and stop methods accordingly
2026-02-21 09:28:21 +0100 | vunknown | Add .clang-format file and refactor AsyncLogQueueEngine for consistency; adjust includes and formatting
2026-02-21 09:33:20 +0100 | vunknown | Refactor logging system for improved readability and consistency
2026-02-21 09:40:27 +0100 | vunknown | Refactor AsyncLogQueueEngine constructor for testability; add protected constructor to facilitate dependency injection
2026-02-21 10:19:59 +0100 | vunknown | Refactor AsyncLogQueueEngine to improve dependency injection; update constructors and member variables for better testability
2026-02-21 10:30:47 +0100 | vunknown | Refactor AsyncLogQueueEngine and EquinoxLoggerEngineImpl for improved dependency injection; update constructors to use shared_ptr for better resource management
2026-03-25 09:54:29 +0100 | vunknown | Fix AsyncLogQueueEngine constructor to use correct timestamp producer for ConsoleLogsProducer
2026-03-25 09:58:43 +0100 | vunknown | Add test for repeated concurrent logging to ensure stability under stress
2026-03-25 10:12:11 +0100 | vunknown | Merge pull request #11 from jwolak/users/improvment_2026
2026-03-25 12:53:39 +0100 | vunknown | Add CI workflow for automated build and testing on push and pull requests
2026-03-25 12:54:44 +0100 | vunknown | Merge pull request #12 from jwolak/users/improvment_2026
2026-03-25 13:22:38 +0100 | vunknown | Add EquinoxLogger.hpp header file and update references in CMakeLists.txt and README.md
2026-03-25 13:26:33 +0100 | vunknown | Add colored logs preview to README and update header file inclusion in examples
2026-03-25 13:42:49 +0100 | vunknown | Merge pull request #14 from jwolak/users/improvment_2026
2026-04-07 13:28:27 +0200 | vunknown | Add git commands for branch management to helper file
2026-04-07 13:30:34 +0200 | vunknown | Add ColorFormatterTest.cpp to the test sources in CMakeLists.txt
2026-04-07 13:38:24 +0200 | vunknown | Add unit tests for ColorFormatter class
2026-04-07 13:39:46 +0200 | vunknown | Add additional unit tests for ColorFormatter class to validate log level extraction and color application
2026-04-07 13:44:19 +0200 | vunknown | Add unit tests for ColorFormatter color level mappings and default color handling
2026-04-07 13:52:01 +0200 | vunknown | Update .clang-format for consistent styling and enhance ColorFormatterTest with additional test cases
2026-04-07 13:53:20 +0200 | vunknown | Add unit tests for ColorFormatter level extraction and color application
2026-04-07 14:02:59 +0200 | vunknown | Merge pull request #15 from jwolak/feature/04-2026_color_formatter_unit_tests
2026-04-09 08:40:33 +0200 | vunknown | Add initial unit test setup for ConsoleLogsProducer
2026-04-09 08:44:10 +0200 | vunknown | Add mock implementation for ITimestampProducer in TimestampProducerMock
2026-04-09 08:47:33 +0200 | vunknown | Add IColorFormatter interface and ColorFormatterMock implementation for unit testing
2026-04-09 08:54:01 +0200 | vunknown | Add ConsoleLogsProducerTest to unit tests
2026-04-09 08:57:08 +0200 | vunknown | Add ITimestampProducer interface and update TimestampProducer implementation
2026-04-09 09:01:53 +0200 | vunknown | Add CHANGELOG.md to document project updates and versioning
2026-04-09 09:11:51 +0200 | vunknown | Refactor ConsoleLogsProducer and ColorFormatter to implement IColorFormatter interface
2026-04-09 09:19:20 +0200 | vunknown | Add unit test for logMessage method in ConsoleLogsProducerTest
2026-04-09 09:21:45 +0200 | vunknown | Add stdout capture to logMessage test for proper output verification
2026-04-09 09:24:46 +0200 | vunknown | Add TrackingStringBuf and CoutBufferGuard for stream buffer synchronization tests
2026-04-09 09:29:31 +0200 | vunknown | Add unit tests for logMessage method to verify formatting for different log levels
2026-04-09 09:47:38 +0200 | vunknown | Refactor ConsoleLogsProducerTest to use constants for log message and timestamps
2026-04-09 09:50:25 +0200 | vunknown | Update trace log message formatting in ConsoleLogsProducerTest to use color
2026-04-09 09:53:06 +0200 | vunknown | Refactor ConsoleLogsProducerTest to use parameterized tests for log message formatting across all log levels
2026-04-09 09:55:41 +0200 | vunknown | Merge pull request #16 from jwolak/feature/ut_for_ConsoleLogsProducer
2026-04-10 08:32:46 +0200 | vunknown | Add EquinoxLoggerApiTest for API functionality verification
2026-04-10 08:56:52 +0200 | vunknown | Refactor EquinoxLoggerApiTest to improve test naming conventions and assertions
2026-04-10 09:00:48 +0200 | vunknown | Refactor FileLogsProducer and EquinoxLoggerApiTest to improve error handling and logging assertions
2026-04-10 09:12:36 +0200 | vunknown | Add EquinoxLoggerTest for comprehensive logging functionality verification
2026-04-10 09:13:54 +0200 | vunknown | Refactor EquinoxLoggerTest to use constant log prefix for setup
2026-04-10 09:15:48 +0200 | vunknown | Merge branch 'main' into feature/ut_for_ConsoleLogsProducer
2026-04-10 09:16:36 +0200 | vunknown | Merge pull request #17 from jwolak/feature/ut_for_ConsoleLogsProducer
2026-04-13 09:32:54 +0200 | vunknown | Implement IEquinoxLoggerEngineImpl interface and update EquinoxLoggerEngineImpl for compliance
2026-04-13 09:50:03 +0200 | vunknown | Refactor EquinoxLoggerEngine to use IEquinoxLoggerEngineImpl and add unit tests for EquinoxLoggerEngine
2026-04-13 09:58:30 +0200 | vunknown | Refactor EquinoxLoggerEngine to remove processLogMessage method and streamline log message processing
2026-04-13 10:16:28 +0200 | vunknown | Add unit tests for EquinoxLoggerEngine to verify singleton instance and setup parameters
2026-04-13 10:24:02 +0200 | vunknown | Add unit tests for EquinoxLoggerEngine setup with various log levels and verify parameters
2026-04-13 10:26:58 +0200 | vunknown | Add parameterized unit tests for EquinoxLoggerEngine setup with various log levels
2026-04-13 10:31:17 +0200 | vunknown | Add unit tests for EquinoxLoggerEngine to verify setup failure and change level functionality
2026-04-13 10:37:13 +0200 | vunknown | Add unit tests for EquinoxLoggerEngine to verify log output sink changes and flush functionality
2026-04-13 10:40:00 +0200 | vunknown | Add unit test for EquinoxLoggerEngine to verify thread safety of log message calls
2026-04-13 10:42:44 +0200 | vunknown | Merge pull request #18 from jwolak/feature/ut_for_EquinoxLoggerEngine
2026-04-15 09:02:38 +0200 | vunknown | Add interface and mock for IFileLogsProducer to support logging functionality
2026-04-15 09:11:27 +0200 | vunknown | Add IAsyncLogQueueEngine interface and mock for unit testing
2026-04-15 09:13:11 +0200 | vunknown | Refactor EquinoxLoggerEngineImpl to use IAsyncLogQueueEngine interface and update access specifier in IAsyncLogQueueEngine
2026-04-15 09:25:03 +0200 | vunknown | Implement constructor overload for EquinoxLoggerEngineImpl to support dependency injection
2026-04-15 09:30:34 +0200 | vunknown | Add unit test for EquinoxLoggerEngineImpl in EquinoxLoggerEngineImplTest.cpp
2026-04-15 09:39:23 +0200 | vunknown | Refactor EquinoxLoggerEngineImplTest to initialize mocks in the constructor
2026-04-15 09:51:38 +0200 | vunknown | Add BSD 3-Clause License header to mock files and implement parameterized tests for log message processing in EquinoxLoggerEngineImplTest
2026-04-15 09:58:00 +0200 | vunknown | Add getter methods for logging configuration in EquinoxLoggerEngineImpl
2026-04-15 10:04:21 +0200 | vunknown | Add parameterized tests for logger setup in EquinoxLoggerEngineImplTest
2026-04-15 10:09:49 +0200 | vunknown | Add parameterized tests for changing log levels in EquinoxLoggerEngineImplTest
2026-04-15 10:18:59 +0200 | vunknown | Add parameterized tests for changing log output sinks in EquinoxLoggerEngineImplTest
2026-04-15 10:22:08 +0200 | vunknown | Merge pull request #19 from jwolak/feature/ut_for_EquinoxLoggerEngineImpl
2026-05-01 11:20:18 +0200 | vunknown | Add unit tests for FileLogsProducer
2026-05-01 11:23:04 +0200 | vunknown | Refactor FileLogsProducer for testability by creating a derived testable class
2026-05-01 11:29:01 +0200 | vunknown | Add accessors for testing purposes in FileLogsProducer
2026-05-01 11:37:12 +0200 | vunknown | Add unit tests for setupFile method in FileLogsProducerTest
2026-05-01 11:48:29 +0200 | vunknown | Add unit tests for log file operations and rotation in FileLogsProducerTest
2026-05-01 11:50:32 +0200 | vunknown | Fix log message retrieval in FileLogsProducerTest by closing the log file stream before reading
2026-05-01 12:03:08 +0200 | vunknown | Enhance FileLogsProducerTest by setting log file name before operations and adjusting timestamp mock expectations
2026-05-01 12:20:01 +0200 | vunknown | Add coverage analysis script for unit test coverage measurement and reporting
2026-05-01 12:31:19 +0200 | vunknown | Add test for logging with invalid format to ensure logMessage is not called
2026-05-01 12:37:31 +0200 | vunknown | Add coverage exclusions for log file closure exceptions in FileLogsProducer
2026-05-01 12:42:01 +0200 | vunknown | Add test for changing log output sink to console in EquinoxLoggerTest
2026-05-01 12:44:02 +0200 | vunknown | Add coverage exclusions for log file exception handling in FileLogsProducer
2026-05-01 12:50:01 +0200 | vunknown | Add unit test coverage section to README and include coverage report image
2026-08-12 10:35:43 +0200 | v2.1.2 | Add git hooks for automated release notes generation and version management
2026-08-12 11:08:04 +0200 | v2.1.3 | Add performance benchmarking and reporting to CI workflow
2026-08-12 11:14:13 +0200 | v2.1.4 | Update performance benchmark script and results in CI workflow
2026-08-12 11:34:13 +0200 | v2.1.5 | Enhance performance benchmarking: separate charts for Debug and Release builds, update CI workflow, and improve output handling
2026-08-12 12:46:56 +0200 | v2.1.6 | Refactor CI workflow: separate build-and-test jobs for Debug and Release, update performance benchmark steps, and improve artifact handling
2026-08-12 12:46:56 +0200 | v2.1.6 | Refactor CI workflow: separate build-and-test jobs for Debug and Release, update performance benchmark steps, and improve artifact handling
2026-08-12 12:49:21 +0200 | v2.1.7 | Fix duplicate entry in release notes for CI workflow refactor
2026-08-12 14:45:33 +0200 | v2.1.8 | Add throughput benchmarking by message length and sink
2026-08-12 14:52:51 +0200 | v2.1.9 | Enhance CI workflow: add separate throughput charts for Debug and Release builds and update README with artifact details
2026-08-12 14:54:44 +0200 | v2.1.10 | Update benchmark chart references in README for consistency
2026-08-12 15:06:01 +0200 | v2.1.11 | Add CMake configuration files and update performance benchmark tests for CI environments
2026-08-12 15:26:29 +0200 | v2.1.12 | Update README and performance benchmarks for CI environment consistency
2026-08-12 15:31:58 +0200 | v2.1.13 | Add EXPECT_CALL for stopWorker in parameterized tests to ensure proper worker management
2026-08-12 15:35:35 +0200 | v2.1.14 | Refactor benchmark result parsing to handle skipped tests and remove unnecessary error raising
